source,sport,league,collected_at,event_date,event_time,rotation_number,is_live,game_key,away_team,home_team,spread_away_line,spread_away_price,spread_home_line,spread_home_price,total_over_line,total_over_price,total_under_line,total_under_price,moneyline_away_price,moneyline_home_price,quarter,clock
espn,college_football,NCAAF,2025-11-03T12:08:22.095719+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.096094+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.096726+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.097048+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.097326+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.097628+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.097935+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.098190+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.098432+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.098723+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.098986+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.099221+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.099446+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.099780+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.100059+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.100292+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.100521+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.100744+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.100966+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.101184+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.101403+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.101687+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.102019+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.102286+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.102606+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.102982+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.103246+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.103502+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.103738+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.103962+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.104184+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.104449+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.104717+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.104950+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.105169+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.105473+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.105838+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.106203+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.107317+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.107640+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.107947+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.108308+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.108604+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.109392+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.109644+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.109884+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.110453+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.110813+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.111069+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.111511+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.111757+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.111969+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.112162+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.112348+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.112530+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.112714+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.112894+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.113144+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.113346+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.113529+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.113762+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.113967+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.114153+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.114330+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.114506+00:00,,,,False,,,,,,,,,,,,,,,
espn,college_football,NCAAF,2025-11-03T12:08:22.114755+00:00,,,,False,,,,,,,,,,,,,,,
